City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Rawson,AR,-43.3,-65.1,64.9,27,22,15.61,few clouds
301,Colares,PT,38.8,-9.45,71.01,77,20,17.22,few clouds
302,Saraj,MK,42.0,21.33,62.6,88,74,5.82,broken clouds
303,San Patricio,MX,19.22,-104.7,89.6,75,75,7.29,broken clouds
304,Elk Plain,US,47.05,-122.4,55.4,93,90,4.7,mist
305,Auki,SB,-8.77,160.7,76.96,80,97,3.31,overcast clouds
306,Nishihara,JP,26.18,127.76,77.0,83,40,5.82,scattered clouds
307,Malanje,AO,-9.54,16.34,76.68,46,97,4.05,overcast clouds
308,Hasaki,JP,35.73,140.83,61.0,82,40,8.05,scattered clouds
309,Cherskiy,RU,68.75,161.3,26.2,90,31,1.63,scattered clouds
310,Valparaiso,CL,-33.04,-71.63,59.0,62,43,11.41,scattered clouds
311,Ancud,CL,-41.87,-73.82,48.2,81,75,14.99,light intensity shower rain
312,Killybegs,IE,54.63,-8.45,53.6,71,40,21.92,scattered clouds
313,Port Hedland,AU,-20.32,118.57,62.6,20,0,8.05,clear sky
314,Lodwar,KE,3.12,35.6,91.33,28,23,6.58,few clouds
315,Carmen,MX,18.63,-91.83,84.2,66,75,10.29,broken clouds
316,Osakarovka,KZ,50.56,72.57,36.46,75,22,14.25,few clouds
317,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,79.61,72,22,10.65,few clouds
318,Calama,CL,-22.47,-68.93,75.2,8,0,21.92,clear sky
319,Constitucion,CL,-35.33,-72.42,58.75,55,0,16.44,clear sky
320,Port-Gentil,GA,-0.72,8.78,80.6,83,90,14.99,overcast clouds
321,Rio Gallegos,AR,-51.62,-69.22,51.8,32,75,28.86,broken clouds
322,Dareda,TZ,-4.22,35.55,67.51,34,0,6.64,clear sky
323,Swan Hill,AU,-35.34,143.55,50.83,67,100,9.6,light rain
324,Emerald,AU,-23.53,148.17,64.4,82,0,5.82,clear sky
325,San Borja,BO,-14.82,-66.85,105.91,20,0,4.94,clear sky
326,Whitehorse,CA,60.72,-135.05,41.0,75,75,0.36,broken clouds
327,Lensk,RU,60.73,114.93,39.22,82,100,3.31,overcast clouds
328,Torbay,CA,47.67,-52.73,53.01,57,20,10.29,few clouds
329,Mae Sot,TH,16.72,98.57,73.4,92,29,1.43,scattered clouds
330,Khorixas,NA,-20.37,14.97,63.64,32,0,11.92,clear sky
331,Lompoc,US,34.64,-120.46,62.6,72,1,5.82,clear sky
332,Guangyuan,CN,32.44,105.82,46.99,92,99,5.99,overcast clouds
333,Tsumeb,NA,-19.23,17.72,81.79,15,0,11.77,clear sky
334,Suntar,RU,62.14,117.63,36.16,91,63,0.81,broken clouds
335,Provideniya,RU,64.38,-173.3,34.5,90,100,8.14,overcast clouds
336,Razole,IN,16.48,81.83,78.04,89,99,2.59,overcast clouds
